Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,Shots on Target,Shots on Target%,Goals per Shot,Goals per Shot on Target,Avg Shot Distance,FK Shots,Penalties,Penalites Attempted,xG,npxG,npxG per Shot,G-xG,npG-xG,Passes Completed,Passes Attempted,Passes Completed%,Total Pass Dist,Prog Pass Dist,Short Pass Cmp,Short Pass Att,Shor tPass Cmp %,Medium Pass Cmp,Medium Pass Att,Medium Pass Cmp%,Long Pass Cmp,Long Pass Att,Long Pass Cmp%,Assists,xAG,xA,A-xAG,Key Passes,Final 1/3 Cmp,Passes into Penalty Area,Crosses into Penalty Area,Prog Passes,Live Pass,Dead Pass,FK Passes,Thru Balls,Switches,Crosses,Throw In,Corners,In Swing CK,Out Swing CK,Straight CK,Passes Offside,Passes Blocked,SCA,SCA Pass Live,SCA Pass Dead,SCA Dribble,SCA Sh,SCA Fouls Drawn,SCA Def,GCA,GCA Pass Live,GCA Pass Dead,GCA Dribble,GCA Shot,GCA Fouls Drawn,GCA Def,Tackle,Tackles Won,Def 3rd Tkl,Mid 3rd Tkl,Att 3rd Tkl,Drb Tkl,Drb Past Att,Drb Tkl%,Drb Past,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Touches,Def Pen Touch,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Att Pen Touch,Live Touch,Att Drb,Succ Drb,Drb Succ%,Times Tackled,Times Tackled%,Carries,Total Carry Distance,Prog Carry Distance,Prog Carries,Carries To Fina lThird,Carries To Pen Area,Carry Mistakes,Disposesed,Received Pass,Prog Passes Rec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%
Brau,es ESP,DF,Granada,es La Liga,21,2001,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,70,83,7,5,6,83.3,2,2,100,0,2,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,100,0,0,0,0,0,1,2,0,14,2,4,4,6,1,14,1,1,100,0,0,8,66,45,2,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braydon Manu,gh GHA,MF,Darmstadt 98,de Bundesliga,26,1997,4,3,171,0,0,0,5,1,20,0,0,14.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,24,33,72.7,353,119,14,16,87.5,9,11,81.8,1,3,33.3,0,0.1,0,-0.1,3,4,0,0,1,29,3,0,0,0,4,3,0,0,0,0,1,4,7,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,1,0,2,0,0,56,1,9,24,24,4,56,9,4,44.4,5,55.6,34,203,120,5,0,1,2,1,37,9,1,0,0,4,1,0,0,0,0,7,0,3,0
Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,26,1997,5,2,182,1,0.49,1,6,3,50,0.17,0.33,15.9,0,0,0,0.7,0.7,0.12,0.3,0.3,37,46,80.4,591,152,18,21,85.7,13,17,76.5,4,4,100,0,0.1,0.2,-0.1,3,4,2,0,7,46,0,0,0,0,1,0,0,0,0,0,0,2,10,8,0,2,0,0,0,1,1,0,0,0,0,0,3,3,0,2,1,1,4,25,3,1,0,1,1,4,2,0,79,3,8,31,40,18,79,7,4,57.1,3,42.9,67,415,150,8,5,6,8,7,67,20,0,0,0,3,7,3,0,0,0,3,1,8,11.1
Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,28,1994,33,33,2970,2,0.03,1,18,3,16.7,0.06,0.33,11.3,0,0,0,1.5,1.5,0.08,-0.5,-0.5,1511,1824,82.8,32477,10685,401,441,90.9,849,918,92.5,238,421,56.5,1,1.6,1.3,-0.6,10,110,8,2,115,1763,58,55,1,25,13,3,0,0,0,0,3,14,28,24,1,0,2,1,0,4,2,0,0,1,1,0,57,34,33,22,2,32,63,50.8,31,58,34,24,53,110,139,3,2188,242,1105,1017,81,30,2188,8,2,25,4,50,1524,9116,5074,25,14,0,15,4,1388,8,4,0,0,35,23,0,0,0,0,174,86,54,61.4
Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,30,14,1267,4,0.14,2,18,7,38.9,0.11,0.29,18.4,0,0,0,2,2,0.11,0,0,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2,1.9,2,0.1,22,30,14,3,56,439,29,3,5,1,22,12,6,2,3,0,4,21,53,41,1,8,3,0,0,8,6,0,2,0,0,0,32,18,13,13,6,16,32,50,16,26,1,25,2,34,4,0,675,11,108,301,293,47,675,77,34,44.2,41,53.2,406,2721,1387,37,29,9,41,38,457,91,3,1,1,15,25,5,0,0,0,88,13,16,44.8
Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,eng Premier League,22,2001,3,3,237,0,0,0,3,0,0,0,0,19.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,47,61,77,671,143,25,29,86.2,17,22,77.3,2,2,100,0,0.2,0,-0.2,1,2,0,0,1,55,5,0,0,0,2,0,0,0,0,0,1,2,7,3,0,2,1,1,0,3,1,0,1,0,1,0,4,1,1,1,2,2,4,50,2,4,1,3,0,4,0,0,85,2,15,38,34,9,85,7,2,28.6,3,42.9,50,372,205,8,4,3,4,2,52,14,0,0,0,1,7,1,0,0,0,11,1,2,33.3
Brennan Johnson,wls WAL,FW,Tottenham,eng Premier League,22,2001,32,23,2085,15,0.22,5,50,19,38,0.1,0.26,12.9,0,0,0,10.3,10.3,0.21,-5.3,-5.3,519,728,71.3,7315,1778,333,405,82.2,158,217,72.8,15,45,33.3,10,8.1,4.5,1.9,45,32,39,10,72,710,14,0,0,1,68,13,0,0,0,0,4,37,70,55,0,4,6,3,2,13,11,0,0,1,0,1,26,15,14,5,7,12,31,38.7,19,37,1,36,10,36,12,1,977,14,94,316,578,154,977,71,25,35.2,39,54.9,637,3904,2060,97,35,48,35,19,748,293,3,0,0,17,29,12,0,0,0,75,5,16,23.8
Brenner,br BRA,"MF,FW",Udinese,it Serie A,23,2000,8,2,189,0,0,0,4,2,50,0,0,15.9,0,0,0,0.4,0.4,0.1,-0.4,-0.4,47,54,87,846,186,23,23,100,19,21,90.5,4,6,66.7,0,0,0,0,2,6,0,0,8,52,2,1,0,0,1,0,0,0,0,0,0,0,5,3,0,0,1,1,0,0,0,0,0,0,0,0,8,7,1,5,2,4,7,57.1,3,2,0,2,0,8,2,0,88,0,10,34,47,7,88,6,2,33.3,3,50,47,290,158,6,4,1,9,2,53,10,0,0,0,0,3,1,0,0,0,15,0,2,0
Brian Ocampo,uy URU,"MF,FW",Cádiz,es La Liga,24,1999,13,1,248,1,0.36,1,5,2,40,0.2,0.5,23,0,0,0,0.3,0.3,0.06,0.7,0.7,83,132,62.9,1347,340,51,66,77.3,15,25,60,12,22,54.5,0,0.1,0.2,-0.1,2,3,7,2,9,118,14,1,1,3,19,6,7,3,3,0,0,3,8,6,0,2,0,0,0,1,0,0,1,0,0,0,4,3,1,3,0,2,5,40,3,4,0,4,3,7,0,0,179,1,20,76,90,6,179,20,10,50,8,40,123,1011,548,18,15,1,17,10,130,25,2,0,0,9,9,0,0,0,0,23,4,3,57.1
Brice Samba,fr FRA,GK,Lens,fr Ligue 1,29,1994,33,33,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,1122,78.4,23308,15854,172,172,100,404,411,98.3,289,519,55.7,0,0.2,0.2,-0.2,2,18,2,0,4,864,254,84,1,2,0,0,0,0,0,0,4,1,8,7,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,100,0,0,0,0,0,1,10,3,1194,917,1173,22,0,0,1194,0,0,0,0,0,861,4654,2662,0,0,0,2,0,600,0,3,0,0,1,3,0,0,1,1,38,4,0,100
