Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,Shots on Target,Shots on Target%,Goals per Shot,Goals per Shot on Target,Avg Shot Distance,FK Shots,Penalties,Penalites Attempted,xG,npxG,npxG per Shot,G-xG,npG-xG,Passes Completed,Passes Attempted,Passes Completed%,Total Pass Dist,Prog Pass Dist,Short Pass Cmp,Short Pass Att,Shor tPass Cmp %,Medium Pass Cmp,Medium Pass Att,Medium Pass Cmp%,Long Pass Cmp,Long Pass Att,Long Pass Cmp%,Assists,xAG,xA,A-xAG,Key Passes,Final 1/3 Cmp,Passes into Penalty Area,Crosses into Penalty Area,Prog Passes,Live Pass,Dead Pass,FK Passes,Thru Balls,Switches,Crosses,Throw In,Corners,In Swing CK,Out Swing CK,Straight CK,Passes Offside,Passes Blocked,SCA,SCA Pass Live,SCA Pass Dead,SCA Dribble,SCA Sh,SCA Fouls Drawn,SCA Def,GCA,GCA Pass Live,GCA Pass Dead,GCA Dribble,GCA Shot,GCA Fouls Drawn,GCA Def,Tackle,Tackles Won,Def 3rd Tkl,Mid 3rd Tkl,Att 3rd Tkl,Drb Tkl,Drb Past Att,Drb Tkl%,Drb Past,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Touches,Def Pen Touch,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Att Pen Touch,Live Touch,Att Drb,Succ Drb,Drb Succ%,Times Tackled,Times Tackled%,Carries,Total Carry Distance,Prog Carry Distance,Prog Carries,Carries To Fina lThird,Carries To Pen Area,Carry Mistakes,Disposesed,Received Pass,Prog Passes Rec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%
Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,33,1989,11,4,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0,0.4,0.3,-0.4,5,15,4,0,26,245,63,9,0,4,11,50,4,1,3,0,0,3,12,7,3,0,0,2,0,1,1,0,0,0,0,0,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,326,18,125,141,61,1,326,1,0,0,1,100,169,522,220,4,5,0,0,2,210,6,1,0,0,2,3,1,0,0,0,18,6,3,66.7
Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21,2002,9,9,713,0,0,0,7,1,14.3,0,0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70,0,0.1,0.1,-0.1,1,10,2,0,21,254,23,3,1,3,5,20,0,0,0,0,0,7,7,6,0,0,0,1,0,0,0,0,0,0,0,0,16,9,9,3,4,7,7,100,0,7,3,4,3,19,10,0,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13,5,0,0,10,16,0,0,0,0,42,1,9,10
Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,1998,6,6,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,188,69.7,3303,2420,38,38,100,61,62,98.4,32,86,37.2,0,0,0,0,0,4,0,0,2,153,35,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,197,140,186,11,0,0,197,0,0,0,0,0,137,697,399,0,0,0,1,0,104,0,0,0,0,0,1,0,0,0,0,6,0,0,0
Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20,2003,14,5,527,0,0,0,6,2,33.3,0,0,16.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90,0,0.4,0.5,-0.4,1,7,2,0,8,141,9,1,1,0,2,2,0,0,0,0,1,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,14,7,5,5,8,16,50,8,11,2,9,1,18,10,0,228,15,63,102,65,9,228,10,3,30,6,60,117,514,168,8,5,4,11,10,142,17,1,0,0,7,3,1,0,1,0,24,4,5,44.4
Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27,1996,16,5,619,1,0.15,1,14,6,42.9,0.07,0.17,16.8,0,0,0,1,1,0.07,0,0,110,190,57.9,1535,254,66,99,66.7,33,65,50.8,4,6,66.7,0,0.7,0.6,-0.7,9,9,1,0,10,176,12,0,0,0,1,2,0,0,0,0,2,7,13,12,0,0,0,1,0,1,1,0,0,0,0,0,3,2,0,2,1,0,3,0,3,8,2,6,1,4,9,0,283,13,20,136,128,31,283,11,3,27.3,7,63.6,123,451,117,7,3,3,26,12,214,35,1,0,0,9,7,2,0,0,0,14,45,31,59.2
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,25,1997,22,20,1780,2,0,0,3,1,33.3,0,0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,823,986,83.5,10824,3539,536,599,89.5,243,285,85.3,19,38,50,2,1.5,1.4,0.5,12,51,16,3,77,839,145,7,0,1,14,138,0,0,0,0,2,27,26,24,1,0,0,1,0,3,3,0,0,0,0,0,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,1225,85,424,538,278,24,1225,32,17,53.1,9,28.1,594,2909,1429,30,27,4,20,9,691,54,4,0,0,17,9,0,0,1,0,94,21,19,52.5
Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,27,1995,2,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,86,74.4,1579,1172,15,15,100,29,29,100,18,39,46.2,0,0,0,0,0,1,0,0,0,65,20,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,88,69,87,1,0,0,88,0,0,0,0,0,42,156,108,0,0,0,0,0,44,0,0,1,0,0,0,0,0,0,0,5,0,0,0
Aarón Martín,es ESP,DF,Genoa,it Serie A,26,1997,22,17,1376,1,0,0,5,0,0,0,0,24.8,2,0,0,0.2,0.2,0.03,-0.2,-0.2,431,619,69.6,7748,2727,195,216,90.3,169,227,74.4,54,128,42.2,1,1.7,1.7,-0.7,26,26,16,11,35,495,119,16,0,2,106,71,32,7,21,0,5,22,33,20,12,1,0,0,0,2,2,0,0,0,0,0,21,10,7,10,4,9,22,40.9,13,12,4,8,9,30,15,0,703,26,166,288,255,10,703,12,6,50,6,50,367,1839,972,28,21,3,12,4,432,72,4,1,1,23,17,2,0,0,0,48,8,11,42.1
Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,20,2002,22,19,1792,2,0.1,2,11,5,45.5,0.18,0.4,14.6,0,0,0,1.6,1.6,0.14,0.4,0.4,1111,1266,87.8,19769,6698,436,473,92.2,567,618,91.7,81,139,58.3,0,0.5,0.2,-0.5,5,52,4,0,72,1186,79,30,0,7,3,17,0,0,0,0,1,5,14,12,0,0,0,0,2,1,0,0,0,0,0,1,54,23,30,19,5,29,40,72.5,11,40,11,29,26,80,70,2,1490,201,717,729,56,18,1490,13,9,69.2,4,30.8,1060,5999,3215,8,11,0,14,7,962,2,4,0,0,30,4,1,0,0,1,124,32,21,60.4
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,27,27,2312,0,0,0,10,3,30,0,0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,553,762,72.6,12370,4872,141,164,86,302,339,89.1,99,225,44,0,0.2,0.2,-0.2,3,61,2,0,49,704,55,50,0,17,2,4,0,0,0,0,3,10,12,9,0,0,2,1,0,0,0,0,0,0,0,0,35,19,28,5,2,21,35,60,14,31,26,5,23,58,115,0,1032,191,570,422,42,21,1032,5,3,60,1,20,492,2460,1418,7,6,0,15,1,499,1,10,0,0,33,23,1,0,2,1,109,39,36,52
Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,18,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,75,40,0,2,3,66.7,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,2,2,1,0,5,0,0,0,0,0,3,17,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,100
Abdellah Raihani,ma MAR,FW,Atlético Madrid,es La Liga,19,2004,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,24,1998,23,6,722,1,0.12,1,17,4,23.5,0.06,0.25,19.4,1,0,0,0.8,0.8,0.05,0.2,0.2,124,225,55.1,2213,845,63,84,75,40,67,59.7,17,45,37.8,0,1.8,1.7,-1.8,18,12,6,3,14,179,44,3,0,1,63,12,28,10,8,2,2,18,29,15,7,4,2,1,0,0,0,0,0,0,0,0,9,5,4,2,3,5,15,33.3,10,10,1,9,3,12,7,0,343,6,46,102,198,36,343,28,10,35.7,16,57.1,180,1419,763,34,15,18,28,12,196,78,1,0,0,13,10,3,0,0,0,31,7,13,35
Abdessamad Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21,2001,2,0,68,0,0,0,4,1,25,0,0,19.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,23,37,62.2,289,83,18,23,78.3,4,8,50,1,4,25,0,0.1,0,-0.1,2,0,2,1,1,32,5,0,0,0,7,4,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,54,0,2,13,39,7,54,4,2,50,2,50,41,302,143,7,3,4,4,2,43,12,0,0,0,1,3,0,0,0,0,2,1,2,33.3
Abdessamad Ezzalzouli,ma MAR,FW,Betis,es La Liga,21,2001,26,6,865,1,0.1,1,33,8,24.2,0.03,0.13,17.8,0,0,1,3,2.2,0.07,-2,-1.2,232,353,65.7,2777,769,159,204,77.9,51,77,66.2,5,17,29.4,0,0.3,0.5,-0.3,4,11,9,1,25,340,11,3,3,2,33,5,3,1,1,0,2,20,20,12,1,3,1,3,0,2,1,1,0,0,0,0,17,14,7,5,5,4,14,28.6,10,10,0,10,5,22,5,0,518,7,58,194,271,60,517,50,21,42,23,46,300,2801,1587,57,34,35,29,31,377,89,1,0,0,9,16,4,0,0,0,44,23,23,50
Abdou Harroui,nl NED,"MF,FW",Frosinone,it Serie A,25,1998,18,13,1019,6,0.26,3,32,11,34.4,0.06,0.18,21.1,0,1,1,3.1,2.3,0.07,-0.1,-0.3,303,383,79.1,4174,1016,186,216,86.1,84,106,79.2,15,25,60,3,1.2,1.4,1.8,16,29,12,4,38,361,18,4,4,2,12,6,2,1,0,0,4,11,39,27,0,4,5,3,0,4,3,0,0,1,0,0,23,11,11,11,1,8,16,50,8,19,3,16,5,28,8,0,564,11,79,276,220,32,563,44,19,43.2,21,47.7,308,2227,1221,43,31,8,28,7,378,56,2,0,0,18,16,1,0,0,0,53,12,8,60
Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29,1994,23,1,611,3,0.29,2,14,5,35.7,0.14,0.4,16.1,1,0,0,2.1,2.1,0.16,-0.1,-0.1,267,336,79.5,4343,1133,127,151,84.1,103,128,80.5,22,36,61.1,1,1,1.1,0,11,18,10,2,31,307,26,11,3,1,26,6,9,4,3,0,3,1,36,22,3,2,3,6,0,3,2,1,0,0,0,0,10,7,2,5,3,5,15,33.3,10,4,0,4,4,14,4,1,423,8,46,177,204,26,423,31,10,32.3,14,45.2,346,2364,1179,41,25,13,17,13,327,73,2,0,0,3,35,5,1,0,0,44,6,6,50
Abdoul Koné,fr FRA,DF,Reims,fr Ligue 1,18,2005,3,3,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,85,62.4,1041,401,19,24,79.2,26,42,61.9,8,17,47.1,0,0.7,0,-0.7,2,6,1,0,5,65,20,3,0,1,1,17,0,0,0,0,0,3,2,1,0,0,0,1,0,2,1,0,0,0,1,0,7,7,5,2,0,4,11,36.4,7,2,0,2,2,9,9,0,115,12,55,54,9,1,115,3,2,66.7,1,33.3,65,359,116,3,1,1,4,0,52,1,1,0,0,2,4,0,1,0,0,14,0,1,0
Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,30,1993,32,32,2629,8,0.24,7,47,21,44.7,0.15,0.33,12.2,0,0,0,8.8,8.8,0.2,-1.8,-1.8,683,893,76.5,9807,2329,381,453,84.1,239,288,83,28,59,47.5,1,2.9,1.5,-1.9,34,43,18,1,97,876,16,0,1,1,26,0,0,0,0,0,1,29,67,59,0,0,6,1,1,5,3,0,0,2,0,0,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,1190,36,188,523,495,100,1190,48,25,52.1,21,43.8,635,3292,1692,55,37,17,61,42,800,140,7,0,0,53,8,21,0,1,0,144,24,40,37.5
Abdoulaye Touré,gn GUI,MF,Le Havre,fr Ligue 1,29,1994,30,27,2284,2,0.08,2,31,8,25.8,0,0,27.4,0,2,2,3,1.4,0.04,-1,-1.4,1031,1238,83.3,18110,5195,413,483,85.5,475,546,87,92,122,75.4,0,0.9,0.9,-0.9,12,119,7,0,148,1219,14,9,1,6,4,3,0,0,0,0,5,19,44,37,0,2,1,3,1,1,1,0,0,0,0,0,47,28,22,22,3,30,60,50,30,30,8,22,25,72,33,0,1504,77,385,946,194,17,1502,42,29,69,12,28.6,1107,5683,2425,22,37,2,37,28,1006,25,4,0,0,27,32,0,0,0,0,173,42,40,51.2
Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,25,1998,20,19,1694,1,0.05,1,6,1,16.7,0.17,1,15.9,0,0,0,0.4,0.4,0.06,0.6,0.6,617,773,79.8,12936,4915,179,203,88.2,355,393,90.3,76,163,46.6,0,0.3,0.1,-0.3,4,34,4,0,38,743,28,26,0,7,2,2,0,0,0,0,2,3,11,8,0,1,2,0,0,0,0,0,0,0,0,0,19,10,13,4,2,8,10,80,2,27,19,8,22,41,82,1,956,127,578,359,25,8,956,4,2,50,1,25,492,2318,989,6,2,0,7,3,558,4,5,1,0,15,16,0,0,0,0,79,39,31,55.7
Abduqodir Xusanov,uz UZB,DF,Lens,fr Ligue 1,19,2004,11,9,809,0,0,0,5,2,40,0,0,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,383,439,87.2,7213,2415,140,152,92.1,203,219,92.7,36,59,61,0,0.1,0.2,-0.1,1,28,1,0,23,426,13,8,0,2,2,0,0,0,0,0,0,1,6,3,0,0,0,1,2,0,0,0,0,0,0,0,21,12,13,8,0,9,17,52.9,8,13,8,5,13,34,32,2,535,61,275,234,29,3,535,2,1,50,1,50,388,1981,757,5,4,0,6,0,349,1,5,0,0,9,7,0,0,1,0,41,6,5,54.5
Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,30,1992,34,11,1270,7,0.43,6,33,14,42.4,0.18,0.43,14.8,2,0,0,3.2,3.2,0.1,2.8,2.8,132,240,55,2042,475,73,110,66.4,42,71,59.2,12,23,52.2,1,2.4,1.2,-1.4,14,12,8,0,26,228,11,2,5,3,8,0,2,1,1,0,1,14,23,16,1,1,3,1,1,3,3,0,0,0,0,0,6,4,2,2,2,3,5,60,2,6,3,3,2,8,12,0,376,16,34,171,181,43,376,18,8,44.4,10,55.6,183,830,285,9,9,5,41,10,266,49,4,0,0,18,18,5,0,0,0,30,39,60,39.4
Ablie Jallow,gm GAM,"MF,FW",Metz,fr Ligue 1,24,1998,17,10,918,5,0.29,3,17,6,35.3,0.12,0.33,21.7,1,1,1,2,1.2,0.07,1,0.8,248,318,78,4487,1116,112,138,81.2,97,120,80.8,30,46,65.2,2,1,0.7,1,12,22,10,0,42,295,21,6,2,8,23,2,12,8,3,0,2,7,30,19,6,2,1,2,0,7,6,1,0,0,0,0,8,5,2,3,3,3,5,60,2,4,0,4,8,16,3,0,419,4,56,226,151,15,418,38,16,42.1,21,55.3,324,2436,1153,29,27,3,21,14,304,53,1,0,0,8,14,0,0,0,0,49,5,18,21.7
Abner,br BRA,DF,Betis,es La Liga,23,2000,23,15,1400,1,0,0,4,0,0,0,0,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1,1,1,0,8,20,7,2,33,628,165,7,0,3,26,158,0,0,0,0,4,23,14,13,0,0,1,0,0,0,0,0,0,0,0,0,25,19,15,9,1,17,34,50,17,23,5,18,15,40,62,0,966,72,344,405,226,28,966,13,7,53.8,5,38.5,447,1802,949,14,10,5,18,11,502,58,3,0,0,16,2,2,0,1,0,79,14,10,58.3
Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23,2000,6,2,197,0,0,0,1,0,0,0,0,7.8,0,0,0,0.1,0.1,0.13,-0.1,-0.1,65,74,87.8,1319,446,20,21,95.2,39,42,92.9,6,9,66.7,0,0.3,0,-0.3,2,6,1,0,4,73,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,1,4,25,3,5,2,3,4,7,8,0,99,15,49,42,8,2,99,3,2,66.7,1,33.3,66,377,79,0,2,0,2,0,58,2,0,1,0,3,2,0,0,0,0,10,2,2,50
Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17,2006,9,1,130,1,0,0,4,2,50,0,0,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,22,34,64.7,287,51,14,19,73.7,7,12,58.3,0,0,0,1,0.1,0.1,0.9,1,4,1,0,3,34,0,0,0,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,1,3,2,0,56,1,4,19,35,7,56,3,1,33.3,2,66.7,41,312,79,3,1,1,4,2,36,12,0,0,0,4,1,0,0,0,0,5,1,5,16.7
Achraf Dari,ma MAR,"DF,FW",Brest,fr Ligue 1,24,1999,4,1,121,0,0,0,1,1,100,0,0,14.4,0,0,0,0,0,0.05,0,0,73,85,85.9,1773,564,11,14,78.6,45,47,95.7,17,23,73.9,0,0,0,0,0,4,0,0,8,83,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,2,2,0,2,5,6,9,1,103,12,54,46,3,1,103,0,0,0,0,0,71,330,155,0,0,0,2,0,63,0,0,0,0,2,1,0,0,0,0,9,4,0,100
Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,24,1998,25,20,1932,9,0.19,4,42,12,28.6,0.1,0.33,19.8,9,0,0,4.2,4.2,0.1,-0.2,-0.2,1712,1979,86.5,25356,8074,948,1030,92,613,696,88.1,77,125,61.6,5,5.2,4.2,-0.2,43,153,45,13,218,1773,203,29,4,6,79,160,14,1,7,0,3,42,93,79,1,2,5,5,1,14,13,0,0,1,0,0,29,19,14,9,6,17,34,50,17,28,4,24,12,41,28,2,2217,68,425,976,835,67,2217,57,27,47.4,30,52.6,1762,9215,4942,84,78,22,33,33,1679,230,3,0,0,22,26,3,0,1,0,142,9,12,42.9
Adam Hložek,cz CZE,"MF,FW",Leverkusen,de Bundesliga,21,2002,23,5,459,5,0.39,2,18,6,33.3,0.11,0.33,14.6,0,0,0,3.1,3.1,0.17,-1.1,-1.1,123,152,80.9,1739,280,78,88,88.6,34,42,81,6,8,75,3,0.9,1.2,2.1,9,5,2,0,13,151,1,0,0,0,0,1,0,0,0,0,0,4,16,12,0,1,3,0,0,4,4,0,0,0,0,0,10,4,2,4,4,3,7,42.9,4,4,1,3,2,12,1,0,222,4,21,99,105,29,222,14,4,28.6,9,64.3,135,812,386,14,9,5,10,13,177,33,1,0,0,8,7,1,0,0,0,20,8,10,44.4
Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35,1988,25,13,850,1,0,0,11,2,18.2,0,0,17.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,451,509,88.6,4936,1088,326,352,92.6,78,90,86.7,7,8,87.5,1,1.7,2,-0.7,15,21,16,1,39,491,15,5,3,0,7,0,4,0,0,0,3,9,28,27,0,0,0,1,0,1,1,0,0,0,0,0,8,3,4,4,0,0,4,0,4,2,1,1,3,11,1,0,574,5,80,268,229,44,574,13,3,23.1,9,69.2,354,1310,483,9,12,4,14,18,491,55,2,0,0,8,11,2,0,0,0,22,3,5,37.5
Adam Marušić,me MNE,DF,Lazio,it Serie A,30,1992,37,37,3100,1,0.03,1,8,3,37.5,0.13,0.33,19.9,0,0,0,0.4,0.4,0.05,0.6,0.6,1560,1880,83,24140,9157,843,935,90.2,582,704,82.7,89,159,56,0,0.8,1.1,-0.8,10,110,24,11,118,1575,304,20,0,4,44,284,0,0,0,0,1,27,34,29,1,2,1,1,0,2,2,0,0,0,0,0,45,31,24,19,2,27,49,55.1,22,27,7,20,29,74,63,2,2103,102,695,1028,391,22,2103,32,14,43.8,14,43.8,979,4378,2368,35,31,3,24,5,1334,108,3,1,0,24,10,4,0,1,0,154,32,33,49.2
Adam Masina,ma MAR,DF,Torino,it Serie A,29,1994,16,10,1024,0,0,0,5,1,20,0,0,13.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,557,652,85.4,9669,4033,236,259,91.1,275,317,86.8,37,61,60.7,0,0.2,0.4,-0.2,3,35,4,0,42,620,31,8,0,1,4,17,0,0,0,0,1,2,10,8,0,0,0,0,2,0,0,0,0,0,0,0,17,12,8,8,1,5,20,25,15,12,6,6,11,28,30,0,741,94,395,309,42,8,741,1,1,100,0,0,432,1798,830,3,4,0,4,6,504,6,0,0,0,18,5,0,0,1,0,49,22,14,61.1
Adam Masina,ma MAR,DF,Udinese,it Serie A,29,1994,4,1,64,0,0,0,1,1,100,0,0,21.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,22,30,73.3,345,153,12,15,80,8,9,88.9,2,4,50,0,0,0,0,0,0,0,0,1,27,3,0,0,0,0,3,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,2,0,2,4,50,2,2,1,1,2,6,5,0,48,7,27,14,7,0,48,0,0,0,0,0,20,55,8,0,0,0,2,1,20,3,2,0,0,3,0,0,0,0,0,5,4,1,80
Adam Obert,sk SVK,DF,Cagliari,it Serie A,20,2002,17,10,941,0,0,0,3,3,100,0,0,18.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,372,474,78.5,7539,2700,144,162,88.9,169,197,85.8,57,100,57,0,0.9,0.7,-0.9,6,40,10,6,37,429,43,17,1,14,15,24,2,0,2,0,2,11,16,15,1,0,0,0,0,4,4,0,0,0,0,0,17,9,8,8,1,8,17,47.1,9,13,7,6,21,38,41,1,587,61,256,281,52,3,587,5,3,60,1,20,283,1533,857,14,6,1,9,2,322,5,1,0,0,14,4,0,0,0,0,54,14,18,43.8
Adam Ounas,dz ALG,FW,Lille,fr Ligue 1,26,1996,17,3,418,1,0.22,1,9,3,33.3,0.11,0.33,18.6,1,0,0,0.6,0.6,0.07,0.4,0.4,138,194,71.1,2338,766,70,84,83.3,47,64,73.4,16,29,55.2,0,1.9,1.8,-1.9,13,7,11,5,20,181,12,2,2,1,22,2,8,5,1,0,1,4,28,17,1,4,2,4,0,1,0,0,0,1,0,0,4,3,2,2,0,2,7,28.6,5,2,0,2,6,10,1,0,253,2,27,102,133,15,253,25,16,64,6,24,198,1328,616,20,12,8,13,16,183,40,0,0,0,3,12,1,1,0,0,27,6,6,50
Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,32,1991,28,25,2150,2,0,0,2,0,0,0,0,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,782,1025,76.3,12722,5225,397,443,89.6,325,401,81,51,141,36.2,2,1.3,1.7,0.7,17,58,23,17,89,793,229,14,3,1,39,215,0,0,0,0,3,26,31,26,4,0,0,1,0,5,5,0,0,0,0,0,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0,1229,92,404,537,295,11,1229,15,4,26.7,8,53.3,521,2455,1022,24,22,3,14,7,580,28,6,0,0,30,22,1,0,2,0,92,18,22,45
Adam Webster,eng ENG,DF,Brighton,eng Premier League,28,1995,15,13,1144,0,0,0,8,0,0,0,0,9.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,997,1096,91,16938,5838,428,462,92.6,495,529,93.6,56,79,70.9,0,0.1,0.3,-0.1,5,92,4,0,80,1063,31,23,1,4,1,7,0,0,0,0,2,2,14,13,0,0,1,0,0,0,0,0,0,0,0,0,14,12,8,5,1,6,18,33.3,12,16,12,4,16,30,43,1,1201,106,495,625,86,14,1201,2,0,0,2,100,814,4073,2357,16,16,0,5,2,903,2,2,0,0,9,3,0,0,0,1,63,33,13,71.7
Adam Wharton,eng ENG,MF,Crystal Palace,eng Premier League,19,2004,16,15,1297,3,0,0,10,1,10,0,0,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,464,596,77.9,8091,2486,209,244,85.7,199,234,85,45,80,56.3,3,2.4,1.5,0.6,21,51,16,3,79,553,34,13,3,2,25,0,15,7,4,0,9,11,37,30,7,0,0,0,0,5,5,0,0,0,0,0,48,32,18,22,8,23,46,50,23,17,3,14,20,68,24,1,742,29,143,426,183,4,742,7,3,42.9,2,28.6,346,1441,723,14,23,0,12,12,449,10,2,0,0,18,21,0,0,0,0,76,7,12,36.8
Adama Bojang,gm GAM,FW,Reims,fr Ligue 1,19,2004,9,0,83,0,0,0,4,1,25,0,0,16.9,0,0,0,1.3,1.3,0.32,-1.3,-1.3,17,27,63,182,66,14,19,73.7,1,2,50,1,1,100,0,0,0.1,0,1,0,0,0,1,23,4,0,0,0,1,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,2,1,1,1,3,0,0,42,1,5,16,22,10,42,1,1,100,0,0,25,134,56,2,1,1,4,1,26,8,1,0,0,4,1,1,0,0,0,3,1,3,25
Adama Traoré,es ESP,"FW,MF",Fulham,eng Premier League,27,1996,17,1,377,5,0.48,2,11,7,63.6,0.18,0.29,16,0,0,0,1.5,1.5,0.14,0.5,0.5,97,139,69.8,1487,457,52,62,83.9,38,52,73.1,5,12,41.7,3,0.7,0.9,2.3,7,3,9,4,16,137,2,0,0,1,26,2,0,0,0,0,0,7,14,12,0,1,1,0,0,5,4,0,1,0,0,0,4,3,1,2,1,3,6,50,3,2,0,2,1,5,2,0,194,4,28,51,118,24,194,17,9,52.9,6,35.3,134,1227,676,29,13,13,13,9,154,48,2,0,0,5,4,0,0,0,0,13,9,6,60
